"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/01/30 9:40:43 am GMT-7","Python;SQL","1 - 5"
"2024/01/30 9:45:28 am GMT-7","Python","5 - 10"
"2024/01/30 10:02:42 am GMT-7","Python","1 - 5"
"2024/01/30 10:02:59 am GMT-7","Java;JavaScript;SQL;C;C++;Visual Basic;Perl;Cobol;Fortran;Assembly;Pascal","> 20"
"2024/01/30 10:03:28 am GMT-7","Python;Perl","> 20"
"2024/01/30 10:03:35 am GMT-7","JavaScript;TypeScript;PHP;SQL;C++;Visual Basic;Perl","> 20"
"2024/01/30 10:03:37 am GMT-7","Python;Java;C++;Perl","1 - 5"
"2024/01/30 10:03:49 am GMT-7","Python;Java;JavaScript;TypeScript;PHP;SQL;Ruby;R;Objective-C;Swift;Perl;Kotlin;Dart","> 20"
"2024/01/30 10:06:50 am GMT-7","Python;Java;JavaScript;SQL;C;C++;Matlab;Visual Basic;Cobol;Fortran;Assembly","> 20"
"2024/01/30 10:10:51 am GMT-7","Java;JavaScript","15 - 20"
"2024/01/30 10:14:33 am GMT-7","Python;Java;JavaScript;SQL;C;C++","15 - 20"
"2024/01/30 10:26:37 am GMT-7","Python;SQL;C;R","1 - 5"
"2024/01/30 10:26:50 am GMT-7","Java;C++","15 - 20"
"2024/01/30 10:27:18 am GMT-7","SQL;R","1 - 5"
"2024/01/30 10:27:28 am GMT-7","Python;Java",""
"2024/01/30 10:27:44 am GMT-7","Ruby;Fortran;Lisp","5 - 10"
"2024/01/30 10:28:46 am GMT-7","Python;Java;C#;Ruby;Visual Basic;Cobol;Pascal","> 20"
"2024/01/30 10:30:13 am GMT-7","SQL","10 - 15"
"2024/01/30 10:36:15 am GMT-7","Python;Java;JavaScript;C;Rust","10 - 15"
"2024/01/30 11:45:33 am GMT-7","Python;JavaScript;Perl","1 - 5"
"2024/01/30 11:45:55 am GMT-7","Java;SQL;C#","10 - 15"
"2024/01/30 11:46:07 am GMT-7","Python;Java","1 - 5"
"2024/01/30 11:46:24 am GMT-7","Python;JavaScript;SQL;C","1 - 5"
"2024/01/30 11:48:04 am GMT-7","Python;SQL;C;C++","1 - 5"
"2024/01/30 11:48:28 am GMT-7","Python;Java;JavaScript","1 - 5"
"2024/01/30 12:10:37 pm GMT-7","Python;Java;JavaScript;TypeScript;SQL;C;C++","1 - 5"
"2024/01/30 12:24:02 pm GMT-7","JavaScript;Matlab;Cobol;Fortran;Assembly;Pascal","> 20"
"2024/02/29 8:17:01 pm GMT-7","Python;C","5 - 10"
"2024/03/25 7:35:39 pm GMT-6","Python;JavaScript;C;Perl","15 - 20"
"2024/03/25 8:23:58 pm GMT-6","Python","< 1"
"2024/03/26 3:13:46 am GMT-6","Python;SQL","1 - 5"
"2024/03/26 7:40:45 am GMT-6","Python;Java;JavaScript;SQL;C;C++;Perl;Kotlin;Pascal","> 20"
"2024/03/26 8:37:35 am GMT-6","Python;C","< 1"
"2024/03/26 9:27:38 am GMT-6","C++","10 - 15"
"2024/03/26 10:03:59 am GMT-6","Python;PHP;SQL;Visual Basic","1 - 5"
"2024/03/26 10:04:01 am GMT-6","Python;JavaScript;SQL;R","1 - 5"
"2024/03/26 10:04:02 am GMT-6","Python;Java;JavaScript;TypeScript;SQL;C;R;Perl;Lisp;Haskell","> 20"
"2024/03/26 10:04:10 am GMT-6","Java;SQL;C;C#;Assembly","> 20"
"2024/03/26 10:04:23 am GMT-6","Python;SQL","1 - 5"
"2024/03/26 10:04:32 am GMT-6","Python;SQL;C;C++;Perl","5 - 10"
"2024/03/26 10:04:37 am GMT-6","Python;SQL;C;C++;C#;Visual Basic;Pascal","> 20"
"2024/03/26 10:04:37 am GMT-6","Java","1 - 5"
"2024/03/26 10:04:38 am GMT-6","Python;Java;JavaScript;SQL;C","15 - 20"
"2024/03/26 10:04:48 am GMT-6","Python;JavaScript;SQL","1 - 5"
"2024/03/26 10:04:52 am GMT-6","C;C++","> 20"
"2024/03/26 10:04:55 am GMT-6","Java;SQL","> 20"
"2024/03/26 10:05:05 am GMT-6","Java;Kotlin","10 - 15"
"2024/03/26 10:05:26 am GMT-6","Python;SQL;C++;Perl;Cobol;Pascal","> 20"
"2024/03/26 10:05:32 am GMT-6","Python;SQL;C;C++;C#;Matlab;Pascal","15 - 20"
"2024/03/26 10:05:48 am GMT-6","Python;SQL;Visual Basic","> 20"
"2024/03/26 10:11:25 am GMT-6","Python;C;C++;C#;Matlab;Perl","5 - 10"
"2024/03/26 10:32:14 am GMT-6","Python;PHP;SQL;Visual Basic","1 - 5"
"2024/03/26 10:34:02 am GMT-6","Python;Java;C;C++;Perl","5 - 10"
"2024/03/26 10:35:29 am GMT-6","Java;SQL;C++","10 - 15"
